Video #,Time (seconds),Converted Time,Observation,Comments
12,8468,0.098009259,1 T 3,
12,8597,0.099502315,1 C 3,
12,8608,0.09962963,1 T 4,
12,8634,0.099930556,2 T 4,
12,8649,0.100104167,1 T 2,
12,8650,0.100115741,2 T 1,
12,8651,0.100127315,2 T 1,
12,8788,0.101712963,2 C 3,
12,8789,0.101724537,2 C 4,
12,8805,0.101909722,1 T 3,
12,8807,0.10193287,1 C 4,
12,8808,0.101944444,2 T 3,
12,8833,0.102233796,1 T 3,
12,8839,0.102303241,2 C 1,
12,8843,0.102349537,1 T 3,
12,8844,0.102361111,3 T 4,
12,8846,0.102384259,1 T 4,
12,8848,0.102407407,1 C 4,
12,8849,0.102418981,1 C 4,
12,8851,0.10244213,2 C 1,
12,8852,0.102453704,2 T 4,
12,8853,0.102465278,2 T 3,
12,8856,0.1025,1 C 4,
12,8857,0.102511574,1 T 4,
12,8860,0.102546296,2 T 4,
12,8922,0.103263889,end experiment,
13,8924,0.103287037,2 T 4,
13,8927,0.103321759,2 C 4,
13,8929,0.103344907,2 C 4,
13,8931,0.103368056,2 C 4,
13,8974,0.103865741,2 T 3,
13,9033,0.104548611,2 T 1,
13,9035,0.104571759,1 T 4,
13,9089,0.105196759,2 T 3,
13,9100,0.105324074,1 T 3,
13,9102,0.105347222,1 T 4,
13,9102,0.105347222,1 T 4,
13,9104,0.10537037,2 T 4,
13,9109,0.105428241,2 T 3,
13,9152,0.105925926,1 T 3,
13,9155,0.105960648,1 T 4,
13,9172,0.106157407,1 T 3,
13,9190,0.106365741,1 C 3,
13,9192,0.106388889,1 T 4,
13,9193,0.106400463,1 T 4,
13,9195,0.106423611,2 T 3,
13,9196,0.106435185,2 C 3,
13,9211,0.106608796,1 T 3,
13,9220,0.106712963,1 T 3,
13,9232,0.106851852,2 T 3,
13,9234,0.106875,1 C 3,
13,9248,0.107037037,1 T 3,
13,9256,0.10712963,2 T 4,
13,9258,0.107152778,1 T 4,
13,9259,0.107164352,1 C 4,
13,9269,0.107280093,1 C 3,
13,9270,0.107291667,1 T 3,
13,9277,0.107372685,2 T 3,
13,9285,0.107465278,2 C 3,
13,9300,0.107638889,3 C 4,
13,9301,0.107650463,2 T 3,
13,9302,0.107662037,2 T 3,
13,9322,0.107893519,1 T 3,
13,9323,0.107905093,1 C 3,
